text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @bluelivesmtr: Hero Down: Norfolk Officer Christopher Seth Amos Succumbs To Mysterious Illness
#BlueLivesMatter #BackTheBlue
Full Story…",FALSE,0,NA,2018-10-25T22:02:23Z,FALSE,NA,1055580355309289472,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LisaMrs1488,25,TRUE,FALSE,NA,NA
"""...taken out of context..."" That's right! We don't really hear what we hear. They think we're stupid. Criminals DO… https://t.co/cKV3NVP2jh",FALSE,0,NA,2018-10-25T22:00:59Z,TRUE,NA,1055580003310751744,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PaisleyPosey,0,FALSE,FALSE,NA,NA
"RT @bluelivesmtr: Mattis To Order 800 Troops To Border To 'Meet' Caravan
#BlueLivesMatter #BackTheBlue
Full Story https://t.co/gbomTgNcq5 h…",FALSE,0,NA,2018-10-25T21:59:35Z,FALSE,NA,1055579653539328000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",betsyannrealno2,14,TRUE,FALSE,NA,NA
"RT @bluelivesmtr: Mattis To Order 800 Troops To Border To 'Meet' Caravan
#BlueLivesMatter #BackTheBlue
Full Story https://t.co/gbomTgNcq5 h…",FALSE,0,NA,2018-10-25T21:58:42Z,FALSE,NA,1055579429072707585,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",markogorzalek,14,TRUE,FALSE,NA,NA
@LauraLoomer @Qwillredpillyou @JacobEngels @AndrewGillum A whole 20ish supports-WOW. I can understand why consideri… https://t.co/8DTL5ubWeu,FALSE,0,LauraLoomer,2018-10-25T21:58:40Z,TRUE,1055561693760315394,1055579419593621505,537709549,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mwlynch1966,0,FALSE,FALSE,NA,NA
"RT @bluelivesmtr: Mattis To Order 800 Troops To Border To 'Meet' Caravan
#BlueLivesMatter #BackTheBlue
Full Story https://t.co/gbomTgNcq5 h…",FALSE,0,NA,2018-10-25T21:58:31Z,FALSE,NA,1055579384931745793,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",Sue73157747,14,TRUE,FALSE,NA,NA
"RT @bluelivesmtr: Mattis To Order 800 Troops To Border To 'Meet' Caravan
#BlueLivesMatter #BackTheBlue
Full Story https://t.co/gbomTgNcq5 h…",FALSE,0,NA,2018-10-25T21:58:12Z,FALSE,NA,1055579304103415810,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",CarlMatsx2,14,TRUE,FALSE,NA,NA
"RT @bluelivesmtr: Mattis To Order 800 Troops To Border To 'Meet' Caravan
#BlueLivesMatter #BackTheBlue
Full Story https://t.co/gbomTgNcq5 h…",FALSE,0,NA,2018-10-25T21:56:51Z,FALSE,NA,1055578962724679681,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sofiegeorge,14,TRUE,FALSE,NA,NA
"RT @bluelivesmtr: Mattis To Order 800 Troops To Border To 'Meet' Caravan
#BlueLivesMatter #BackTheBlue
Full Story https://t.co/gbomTgNcq5 h…",FALSE,0,NA,2018-10-25T21:56:29Z,FALSE,NA,1055578872106881030,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",exec915,14,TRUE,FALSE,NA,NA
"RT @bluelivesmtr: Mattis To Order 800 Troops To Border To 'Meet' Caravan
#BlueLivesMatter #BackTheBlue
Full Story https://t.co/gbomTgNcq5 h…",FALSE,0,NA,2018-10-25T21:56:04Z,FALSE,NA,1055578767232512000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",trending27,14,TRUE,FALSE,NA,NA
